OBJECTID,Reported Date,Information Reliability,Region of Incident,Number Dead,Number Missing,Nationalities,Region of Origin,Migrant route,Location Description,Number of Female,Number of Male,Number of Children,Age Range,Information Source,URL,Comments,Has the record been reviewed for quality and ready for public view,Cause of death,Number of survivors,x,y,
120978,"November 1, 2016",Partially Verified,Southeast Asia,54,6,Malaysia,South East Asia,Malaysia to Indonesia,Near unspecified island in Indonesia,,,1,,The Jakarta Post,http://bit.ly/2ff65YD,,,Drowning,39,11841828.0195761,34623.5916359257,
120979,"October 28, 2016",Verified,Mediterranean,3,,Unknown,Unknown,Central Mediterranean,Unspecified location between Libya and Italy,,,,,UNHCR,,,,Drowning,,1651390.44178016,4247099.10418324,
121377,"October 28, 2016",Verified,Mediterranean,2,4,Unknown,Unknown,Central Mediterranean,Unspecified location between Libya and Italy,,,,,UNHCR,,,,Drowning,,1847069.23419021,3929121.10821341,
121777,"October 31, 2016",Verified,Mediterranean,12,99,Unknown,Mixed,Central Mediterranean,Unspecified location 25 miles north of Libya,,,,,IOM Italy,,,,Drowning,,1494847.40785212,4149259.74647202,
121778,"November 1, 2016",Verified,Mediterranean,,128,Unknown,Mixed,Central Mediterranean,Unspecified location between Libya and Italy,,,,,IOM Italy,,,,Presumed drowning,2,1538875.13620004,4095448.04162902,
122178,"October 9, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown,,-12487735.5251672,3738896.34816254,
122179,"October 21, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown (Skeletal remains),,-12475505.6006694,3756018.24246996,
122180,"October 24, 2016",Partially Verified,Mediterranean,1,,Unknown,Unknown,Central Mediterranean,"Died in hospital after rescue in Sicily, Italy",1,,,,IOM Italy,,,,Unknown,,1677682.52343293,4503769.70133207,
122182,"October 26, 2016",Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,,"Pima County, Arizona, USA",,1,,,Pima County Office of the Medical Examiner,,,,Unknown (Mummified remains),,-12521367.817564,3745011.31050435,
122184,"October 25, 2016",Partially Verified,Europe,1,,Syria,Middle East,"Calais, France to UK","Outside of Calais, France",,1,,31,TheLocal.fr,http://bit.ly/1O4MUg8 and http://bit.ly/23gniCk,,,Hit by vehicle,,212436.775566,6610292.26327973,
