OBJECTID,Reported Date,Information Reliability,Region of Incident,Number Dead,Number Missing,Nationalities,Region of Origin,Migrant route,Location Description,Number of Female,Number of Male,Number of Children,Age Range,Information Source,URL,Comments,Has the record been reviewed for quality and ready for public view,Cause of death,Number of survivors,x,y,
6963,"November 16, 2015",Partially Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,Mexico to United States,"Piedras Negras, Coahuila, Mexico",,1,,,Breitbart News,http://bit.ly/1QZDv9u,"Human smugglers are believed to have left behind the body of an unknown migrant in a shallow grave in the border city of Piedras Negras, Coahuila, Mexico, setting off a series of police investigations.",Yes,Unknown,,-11196875.2768785,3342050.73200334,
6973,"November 4, 2015",Verified,Mediterranean,1,,Unknown,Unknown,Eastern Mediterranean,"Agathonisi, Greece",,1,,,Hellenic Coast Guard via IOM Athens,http://www.hcg.gr/node/11446,"A man was found dead on the coast of Agathonisi, Greece.",Yes,Presumed drowning,,3004840.90153904,4503277.31645541,
7763,"November 22, 2015",Partially Verified,North Africa,5,,Sudan,MENA,Other,"Northern Sinai peninsula, near the border to Israel",,,,,Reuters,http://reut.rs/1Lx3Btk,,Yes,Shot,,3819064.27425713,3638014.90546944,
7764,"November 17, 2015",Verified,Mediterranean,8,7,Syria,MENA,Eastern Borders,"Southwestern coast of Turkey, Mugla province",,,,,Turkish Coast Guard via IOM Ankara,,,Yes,Drowning,5,3074261.87066028,4420118.57891122,
8164,"April 22, 2015",Partially Verified,Europe,14,,"Somalia, Afghanistan",,Western Balkan,"Near Veles, former Yugoslav Republic of Macedonia",,,,,Macedonia Information Agency,http://ind.pn/1EvSuCe,"A large group of Somali and Afghan migrants were hit by a train near Veles in the former Yugoslav Republic of Macedonia. 14 were killed, while an estimated 36 survived.",Yes,Train accident,,2424700.24500908,5116963.25634735,
8963,"November 24, 2015",Partially Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"Kusadisi beach, Aydin, Turkey",1,,1,4,Hurriyet Daily News,http://bit.ly/1IdTsXD,,Yes,Drowning,,3033750.2456848,4557858.10381115,
9763,"November 26, 2015",Partially Verified,Mediterranean,4,,Afghanistan,South Asia,Eastern Mediterranean,"Off the coast of Ayvacik, Turkey",,,4,,AP,http://bit.ly/1SnxT7o,,Yes,Drowning,50,2951656.87723868,4766836.93917058,
10163,"November 27, 2015",Partially Verified,Mediterranean,5,,Unknown,MENA,Eastern Mediterranean,"Bodies washed ashore Ayvacik district, Canakkale, Turkey",1,2,2,2 infants,Hurriyet Daily News,http://bit.ly/1NDccm0,,Yes,Drowning,,2939607.74427685,4793976.86161936,
10963,"November 30, 2015",Partially Verified,Mediterranean,3,30,Syria,MENA,Eastern Mediterranean,"Off the coast of Cesme, Izmir, Turkey. Heading for Chios",1,,6,20 days to 9y,Anadolu Agency,http://bit.ly/1HHteNj,"A boat carrying around 35 people heading for the Greek island of Chios sank off the coast of Cesme, Izmir province. 3 bodies were found washed up on a Turkish beach, while the 2 survivors reported at least 30 missing. One of the survivors, Ali Alsaho, lost his wife and 7 children in the accident",Yes,Drowning,,2921721.47963899,4636975.20544877,
11364,"November 12, 2015",Partially Verified,Central America incl. Mexico,1,,El Salvador,Central America,Other,"Santiago de Querétaro, Querétaro, Mexico",,1,,,Diario de Querétaro,http://bit.ly/1OHQEBJ,"A migrant was killed in a hit-and-run in the capital city of Querétaro, Mexico. An acquaintance said that the migrant had arrived in Mexico to 'find his destiny' in the United States.",Yes,Hit by vehicle,,-11176657.5335972,2343252.86070919,
11763,"November 30, 2015",Partially Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"off the coast of Ro, Greece",,1,1,3,AP,http://abcn.ws/1NrKdUh,,Yes,Drowning,24,3283803.68256933,4322551.48959035,
11764,"December 3, 2015",Partially Verified,Sub-Saharan Africa,3,,Zimbabwe,Sub-Saharan Africa,Other,"Near the New Limpopo Bridge in Beitbridge, Zimbabwe, close to South African border",,3,1,7-9,Masasi News First,http://bit.ly/1NL9z1k,"Three Zimbabweans were killed by a hippopotamus near the New Limpopo Bridge in Beitbridge, Zimbabwe while attempting to illegally cross into South Africa. Among the deceased were two men and a child estimated to be aged between 7 and 9 years.",Yes,Attacked by hippopotamus,,3337973.80196978,-2537772.02770285,
12163,"December 2, 2015",Verified,Europe,1,,Moroccan,North Africa,Other,Greek-Macedonian border,,1,,22,IOM Greece,http://wapo.st/1TyLOZo,A 22-year-old Moroccan migrant was killed after touching electrified cables on top of a train carriage on the Greek-Macedonian border. The death came amid scuffles between migrants and refugees following the Macedonian authorities' closure of the border to those considered economic migrants.,Yes,Electrocution,,2423630.03512064,5002038.45261428,
12164,"December 2, 2015",Partially Verified,Mediterranean,3,2,Unknown,Unknown,Eastern Mediterranean,"Off the coast of Farmakonissi, Greece",1,,,,AP,,,Yes,Drowning,,3017601.32786446,4477680.39914221,
12563,"December 2, 2015",Partially Verified,Europe,1,,Sudan,MENA,Calais to UK,Calais motorway,,1,1,teenager,Calais Migrant Solidarity,http://bit.ly/1DPsGT2,,Yes,Hit by vehicle,,202397.761358597,6610579.27586641,
12564,"December 1, 2015",Partially Verified,Europe,1,,Ethiopia,Horn of Africa,Calais to UK,"Calais motorway, France",,1,,,Calais Migrant Solidarity,http://bit.ly/1DPsGT2,"A migrant from Ethiopia was struck and killed by a car on a motorway in Calais, France",Yes,Hit by vehicle,,213071.177106387,6609522.758624,
12565,"December 7, 2015",Partially Verified,Mediterranean,6,,Afghan,MENA,Eastern Mediterranean,"off the coast of Cesme, Izmir, Turkey near Chios, Greece",,,6,1 infant,Hurriyet Daily News,http://bit.ly/1XW83hJ,"Six Afghan children drowned after an inflatable migrant boat capsized off the coast of Cesme, Izmir, Turkey en route to Chios, Greece. 8 other migrants were rescued by the Turkish Coast Guard.",Yes,Drowning,8,2918177.60817617,4626426.89551332,
12566,"December 9, 2015",Partially Verified,Mediterranean,4,9,Iraq,MENA,Eastern Mediterranean,"near Farmakonisi, Greece",,,,,Hurriyet Daily News,http://bit.ly/1RcqvOT,"Four Iraqi refugees drowned, while nine remain missing after their boat capsized near Farmakonisi, Greece. Turkish Coast Guard rescued two refugees from the water, while five others managed to swim back to the Turkish mainland.",Yes,Drowning,7,3018768.73736816,4483642.52677164,
12964,"December 7, 2015",Partially Verified,North Africa,11,27,Reported as unspecified nationals of Africa,Sub-Saharan Africa,Western Mediterranean,140km south of Boujdor in Western Sahara en route to Canary Islands,1,10,,,Reuters,http://bit.ly/1NVoYwm; http://bit.ly/28IfW7F,Moroccan authorities recovered the bodies of 11 African migrants off the coast of Boujedor whose boat sank apparently due to bad weather as they tried to cross to the Canary Islands.,Yes,Drowning,,-1700912.01108485,3066652.89642009,
12965,"December 7, 2015",Partially Verified,Sub-Saharan Africa,7,,Ethiopia,Horn of Africa,Other,"highway in Bulawayo, Zimbabwe",,,,,"Zegabi, IOM Zambia",http://www.zegabi.com/articles/9845,"A bus trafficking 21 Ethiopians illegally to South Africa crashed on a highway in Zimbabwe’s second largest city Bulawayo on Tuesday. Two people were killed and 19 others sustained serious injuries after the crash, which was triggered by a burst tire.",Yes,Vehicle accident,19,3180662.3633266,-2291888.53456386,
12966,"December 8, 2015",Partially Verified,Mediterranean,1,,Unknown,Middle East/ South Asia,Eastern Mediterranean,"off the Aegean coast of Turkey en route to Farmakonisi, Greece",,,1,6 month old,Hurriyet Daily News,http://bit.ly/1Y2gkeK,"A six-month-old migrant baby was found dead off the Aegean coast after a migrant boat bound for Farmakonisi capsized on Dec. 8 at around 10 p.m. The Turkish coast guard reportedly rescued 18 migrants, including six children, after that capsizing.",Yes,Drowning,18,3020450.3519713,4481731.60105745,
12967,"December 8, 2015",Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"On the shore of Kos, Greece",,,,,IOM Greece,,The body of a migrant was found washed up on the Greek island of Kos.,Yes,Drowning,,3040248.61424559,4422758.15944511,
13763,"December 8, 2015",Verified,Mediterranean,12,13,Unknown,Middle East/ South Asia,Eastern Mediterranean,"Off the coast of Farmakonisi, Greece",2,4,5,1 infant,IOM Greece,http://bit.ly/1Y2gkeK,"A boat capsized off the coast of Farmakonisi, Greece, killing 12 migrants, including 5 children. 8 more are still missing, while 26 were rescued.",Yes,Drowning,26,3008095.32162037,4504968.45767552,
14163,"December 9, 2015",Partially Verified,Mediterranean,4,,Unknown,MENA,Eastern Mediterranean,"Off the coast of Farmakonisi, Greece",1,2,1,1 infant,AP,http://bit.ly/1OT8dRp,"4 bodies were found off the coast of Farmakonisi, Greece. 2 were adult men, 1 was an adult woman, while 1 body was that of an infant.",Yes,Drowning,,3008679.04963799,4504739.1465989,
14563,"December 11, 2015",Verified,Mediterranean,1,,Unknown,Middle East,Eastern Mediterranean,"found on Megisti/Kastelorizo, Greece",,1,,,IOM Greece,http://www.hcg.gr/node/11656,A corpse of a man in advanced sepsis was found in Megisti island. No further information on his identity is available.,Yes,Presumed drowning,,3295359.48328153,4324500.55183869,
14565,"December 15, 2015",Partially Verified,Mediterranean,2,,Iraq,MENA,Eastern Mediterranean,"Off the coast of Cesme, Izmir, Turkey. Likely en route to Chios, Greece.",,,2,"2, 6",Hurriyet Daily News,http://bit.ly/1RTzbcd,"Two Iraqi children, aged six and two, were found dead off the Turkish resort town of Çeşme after trying to reach EU member Greece.  The bodies of the two children were found floating in the sea by local fishermen who then handed them over to the İzmir coastguard.  The children had been among 200 migrants trying to reach Greece by crossing the Aegean in the same journey. All others were rescued after their boat sank.",Yes,Drowning,200,2921467.18273005,4640670.67240325,
14963,"December 13, 2015",Partially Verified,Mediterranean,3,3,Unknown,MENA,Eastern Mediterranean,"near Kastelorizo/Megisti, Greece",,,3,,Greek Reporter,http://bit.ly/1QJ2JIG,,Yes,Drowning,17,3293870.61548239,4324788.33003218,
14964,"December 13, 2015",Partially Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"Between Izmir, Turkey and Lesvos, Greece",,1,1,10,Haberler,http://bit.ly/1O8jq1D,"A 10-year-old boy named Nergis died on Monday after one of three boats carrying refugees sank off Turkey's western Izmir coast, en route to Lesvos, Greece.   More than 100 Syrian and Afghan refugees in the three boats were rescued by the Turkish Coast Guard.",,Drowning,,2947757.12860707,4785895.73804583,
14965,"December 15, 2015",Partially Verified,Mediterranean,4,,"Iraq, Syria, Afghanistan",MENA,Eastern Mediterranean,"Off the coast of Kara Ada, Bodrum, Turkey. En route to Kos, Greece.",,,,2 - 6,"Hurriyet Daily News, Anatolu Agency",http://bit.ly/1RTzbcd and http://bit.ly/1TRyUVS,"Turkish coast guards rescued 58 people of Iraqi, Syrian and Afghan nationality, including 22 children, after a 14-meter boat capsized.",Yes,Drowning,58,3053619.4406273,4434115.47713612,
15363,"October 30, 2015",Partially Verified,Mediterranean,4,,Unknown,Sub-Saharan Africa,Western Mediterranean,between Al Hoceima and Malaga,,4,,,AFP,http://bit.ly/1YpEBLU,,Yes,Drowning,,-658588.925245629,4299429.28861128,
15364,"December 15, 2015",Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"Off the coast of Kalymnos, Greece",,1,1,about 2 years,Hellenic Coast Guard,http://www.hcg.gr/node/11682,,Yes,Drowning,,3005802.21068659,4429372.23670236,
15763,"December 13, 2015",Verified,Mediterranean,1,,Unknown,Middle East/ South Asia,Eastern Mediterranean,"Off the coast of Fourni, Greece",,1,,,Hellenic Coast Guard,http://www.hcg.gr/node/11666,,Yes,Drowning,,2949367.51610195,4521107.47170356,
15764,"December 17, 2015",Partially Verified,Mediterranean,4,,Iraq,MENA,Eastern Mediterranean,"between Bodrum, Turkey and Kos, Greece",,,2,,Hurriyet Daily News,http://bit.ly/1QR5GXY,The Turkish Coast Guard rescued the other four migrants from the boat that departed from Bodrum’s Turgutreis neighborhood to reach the Greek island of Kos.,Yes,Drowning,4,3033931.03710945,4428760.74040491,
19363,"December 19, 2015",Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"Off the coast of Fourni Island, Greece",1,,1,16,Hellenic Coast Guard,http://www.hcg.gr/node/11696,,Yes,Drowning,,2947984.536293,4519777.73810117,
19364,"December 21, 2015",Partially Verified,Mediterranean,2,,Unknown,MENA,Eastern Mediterranean,"Off the coast of Cesme, Izmir, Turkey, en route to Chios, Greece",1,,1,"3.5, 17",Hurriyet Daily News,http://bit.ly/1Mvd9pi,,Yes,Drowning,,2926503.40807318,4625542.54018077,
19365,"December 23, 2015",Partially Verified,Mediterranean,20,,Unknown,MENA,Eastern Mediterranean,"About 2 miles off the coast of Dikili, in Turkey's Izmir province, en route to Lesvos, Greece",1,,11,,"Euronews, Hurriyet Daily News",http://bit.ly/1JB5R3j and http://bit.ly/1SgIH9J,"The Turkish Coast Guard confirmed the death toll, which includes eleven children and one pregnant woman.  Some 21 people are said to have been rescued, so far.",,Drowning,21,2981266.75961541,4734421.91589727,
19366,"December 23, 2015",Verified,Mediterranean,2,,Unknown,MENA,Eastern Mediterranean,"Off coast of Fourni Island, Greece",2,,,,Hellenic Coast Guard,http://www.hcg.gr/node/11731,,Yes,Drowning,,2950608.74044679,4518331.70541806,
19367,"December 23, 2015",Verified,Mediterranean,1,,Afghanistan,MENA,Eastern Mediterranean,"Samos, Greece",1,,1,10,IOM Greece,,,Yes,Drowning,,3001224.24126683,4545032.43132579,
19368,"December 24, 2015",Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"Karlovasi port, Samos, Greece",,1,,25-30,Hellenic Coast Guard,http://www.hcg.gr/node/11734,,Yes,Drowning,,2972077.89569879,4550937.30942251,
19371,"December 18, 2015",Verified,Mediterranean,2,,Unknown,MENA,Eastern Mediterranean,"Island of Ikaria, Greece",1,1,,"20 (M), under 16 (F)",Hellenic Coast Guard,http://www.hcg.gr/node/11693,,,Drowning,,2930626.43866775,4531385.74460586,
19763,"December 20, 2015",Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"Kalymnos, Greece",,1,,35,Hellenic Coast Guard,http://www.hcg.gr/node/11701,,Yes,Drowning,,3003770.49929053,4432139.43432626,
19765,"December 21, 2015",Partially Verified,Mediterranean,11,,Syria,MENA,Eastern Mediterranean,"Off the coast of Kusadasi, Turkey. En route to Samos, Greece",,,1,,Hurriyet Daily News,http://bit.ly/1Of331b,"11 Syrian migrants, including children, have drowned off Turkey’s west coast after a fiber boat carrying at least 18 Syrian migrants capsized off the Aegean province of Aydın, Turkey.",Yes,Drowning,,3034683.0816443,4552676.7601821,
19766,"December 22, 2015",Verified,Mediterranean,1,,Unknown,Unknown,Central Mediterranean ,"Body brought to Augusta, Italy",,,,,UNHCR,,,Yes,Drowning,,1649302.70918432,4325370.64482215,
19767,"December 22, 2015",Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"Fourni Island, Greece",1,,,,Hellenic Coast Guard,http://www.hcg.gr/node/11723,,Yes,Drowning,,2950536.57970196,4520567.81704049,
19768,"December 24, 2015",Partially Verified,Mediterranean,2,,Unknown,Unknown,Western Mediterranean,"Near Benzu, in the north of Ceuta, Spain",,,,,Al Jazeera,http://bit.ly/22t9Jz6,"A mass attempt to scale the border fence on the Spanish island of Ceuta and reach European shores has left at least two people dead and 12 others injured. 185 African migrants and refugees swam all the way from Morocco and made it across the border fence on Friday, and were being treated for injuries. The incident occurred around 4am local time near Benzu, in the north of Ceuta.",Yes,Unknown,,-598111.361899646,4289142.04993895,
19769,"December 24, 2015",Verified,Mediterranean,1,,Unknown,MENA,Eastern Mediterranean,"Samos, Greece",1,,,,Hellenic Coast Guard,http://www.hcg.gr/node/11734,,Yes,Drowning,,3008786.77851861,4545278.22598485,
19770,"December 26, 2015",Partially Verified,North Africa,1,,Palestine,MENA,,Gaza-Egypt border,,1,,28,Al Jazeera,http://bit.ly/1RRllYN,,Yes,Shot,,3809659.79539614,3673002.61972365,
19771,"December 27, 2015",Verified,Mediterranean,4,,Unknown,MENA,Eastern Mediterranean,"Fourni Island, Greece",3,1,1,,Hellenic Coast Guard,http://www.hcg.gr/node/11744,,Yes,Drowning,,2950842.31122502,4516255.12661125,
19772,"December 29, 2015",Verified,Mediterranean,2,,Unknown,MENA,Eastern Mediterranean,"Samos, Greece",1,1,,,"Hellenic Coast Guard, via IOM Athens",http://www.hcg.gr/node/11750 and http://www.hcg.gr/node/11751,,Yes,Drowning,,3005662.41500213,4538162.77097769,
19773,"December 29, 2015",Partially Verified,Central America incl. Mexico,3,,Unknown,Central America,Mexico to United States,"Near train tracks between Queretaro and Celaya, Mexico.",,,,,24News,http://bit.ly/1QZowxZ,"Mexican rights activists said they have reports of 3 cases in which private railroad guards have killed migrants trying to ride freight trains to the U.S. Additionally, Leticia Gutierrez of the Scalabrinian religious order said the organization also has evidence that five migrants were killed by state or local police in recent months.",Yes,Shot,,-11159918.3461807,2355299.53265336,
19774,"December 15, 2015",Verified,Mediterranean,5,,Iraq,MENA,Eastern Mediterranean,"en route to Lesvos, Greece",1,1,3,"9m.o. F, 80y M",IOM Greece,http://yhoo.it/1NUHKSG,,Yes,Drowning,,2958418.65487664,4749867.27945998,
19775,"December 17, 2015",Partially Verified,Mediterranean,4,,Syria,MENA,Eastern Mediterranean,"In international waters off Yalıkavak, Bodrum, Turkey. En route to Farmakonisi, Greece",,,3,,Hurriyet Daily News,http://bit.ly/1QR5GXY,,Yes,Drowning,,3030132.24011653,4455703.97382965,
19776,"December 17, 2015",Partially Verified,Mediterranean,18,,Unknown,Middle East/ South Asia,Eastern Mediterranean,"About 3.5 km off the coast of Bodrum,Turkey. En route to Kalymnos, Greece.",4,,10,,"AFP, Reuters",http://ab.co/1OeWiyu and http://bit.ly/1Sa9iFq,"The survivors are Syrians, Iraqis and Pakistanis",Yes,Drowning,,3043877.4386212,4430931.08802443,
20164,"February 23, 2015",Partially Verified,Central America incl. Mexico,1,,Honduras,Central America,Central America to United States,"La Cuchilla sector in municipality of Concepción Chiquirichapa, Quetzaltenango, Guatemala",,1,,38,Prensa Libre,http://bit.ly/29EdzkC,,Yes,Unknown,,-10256235.029587,1646978.43849241,
20167,"August 14, 2015",Partially Verified,U.S./Mexico Border,1,,Unknown,Central America & Mexico,Mexico to United States,"Rio Grande near Laredo, Texas",,1,,25-30,La Jornada,bit.ly/1VaeEj0,,Yes,Drowning,,-11077668.4203405,3186066.05442927,
20169,"August 18, 2015",Partially Verified,Central America incl. Mexico,20,,Reported as unspecified nationals of Central America,Central America & Mexico,Central America to United States,"on 'La Bestia', cargo trains from Central America north, in Puebla, Mexico",,,,,El Popular,http://bit.ly/1NSIPsQ and https://twitter.com/diarioelpopular/status/633805623570796549,Died on La Bestia,Yes,Vehicle accident,,-10931573.8849139,2160823.11877423,
20171,"October 29, 2015",Partially Verified,Central America incl. Mexico,1,,Honduras,Central America,Mexico to United States,"Mascupana, Tabasco, Mexico",,1,,,Canal 6,http://bit.ly/1mSIcql,,Yes,Train accident,,-10307794.9782139,2009653.44587831,
20172,"November 10, 2015",Partially Verified,Central America incl. Mexico,1,,Honduras,Central America,Central America to United States,"Jesús María, Mexico",,1,,,RadioGrupo,http://bit.ly/1mSmenf,,Yes,Unknown,,-12554917.8506457,3120287.36393876,
20563,"March 2, 2015",Partially Verified,Caribbean,1,,Haiti,Caribbean,,"Woods near Palo Blanco Community, Dominican Republic",1,,,approx. 30,El Caribe,http://bit.ly/18ibczY,,Yes,Raped and murdered,,-7973896.35568857,2227106.36106288,
20565,"July 23, 2015",Partially Verified,Central America incl. Mexico,1,,Unknown,Central America & Mexico,Central America to United States,"La Cofradia, Jalisco, Mexico",,1,,,TV Azteca Jalisco,on.fb.me/1OdjzeW,,,Fell from train,,-11588139.2607086,2279743.87838609,
20566,"August 3, 2015",Partially Verified,Central America incl. Mexico,1,,Unknown,Central America & Mexico,Central America to United States,"On a ranch near the town of Trincheras, Sonora, Mexico",,1,,20-25,Infonogales,bit.ly/1ZDIL3r,Found dead with bullet wounds,Yes,Murdered,,-12415941.0083198,3554822.61281326,
20567,"September 22, 2015",Partially Verified,Central America incl. Mexico,2,,Honduras and Guatemala,Central America & Mexico,Central America to United States,"Puebla, Mexico",,2,,,IOM,http://bit.ly/1NSIPsQ and https://twitter.com/diarioelpopular/status/633805623570796549,,Yes,Unspecified deaths on 'La Bestia' train,,-10931573.8849139,2160823.11877423,
20568,"September 23, 2015",Partially Verified,Central America incl. Mexico,1,,Reported as unspecified nationals of Central America,Central America & Mexico,Central America to United States,Between San Nicolás and Bordo Blanco,,1,,,Quadratin,http://bit.ly/1LOOufv,"Unknown, likely shot/gun-related death",Yes,Presumed shot,,-11124079.962298,2331315.77703183,
20569,"September 28, 2015",Partially Verified,Central America incl. Mexico,1,,Unknown,Central America,Mexico to United States,"Tlalixcoyan, Veracruz, Mexico",,1,,,"Omar Ojeda, Twitter",bit.ly/1PqtNrX,,Yes,Shot,,-10693981.1775727,2131566.6329889,
20570,"November 6, 2015",Partially Verified,U.S./Mexico Border,1,,Mexican,Central America,Mexico to United States,"US-Mexico border near Nogales, Mexico",,1,,37-39,Informador.mx,http://bit.ly/1JgGb1e and bit.ly/1Udra10,,Yes,Unknown,,-12350025.4589055,3672894.39481362,
20963,"June 18, 2015",Partially Verified,Europe,1,,Mozambican,Sub-Saharan Africa,Other,"Heathrow Airport, UK",,1,,,The Guardian,bit.ly/1Rgw7b9 and bit.ly/1Bs6I7M,,Yes,"Unknown, plane stowaway",,-50815.850745254,6705061.66738833,
21364,"December 30, 2015",Partially Verified,Sub-Saharan Africa,1,,Malawian,Sub-Saharan Africa,Other,"Beitbridge border crossing, Zimbabwe",1,,1,5,The Herald,http://bit.ly/1nxBG8K,,Yes,Attacked by hippopotamus,,3339584.36779848,-2537558.91862373,
26966,"December 26, 2015",Partially Verified,Mediterranean,1,,Syrian,MENA,Eastern Mediterranean,"Fourni Island, Greece",1,,,,Hellenic Coast Guard,,,Yes,Drowning,,2952065.32025027,4522096.55752379,
26967,"December 30, 2015",Verified,Mediterranean,1,,Syrian,MENA,Eastern Mediterranean,"Kara Tepe accommodation area in Lesvos, Greece",1,,1,10,IOM Greece,,"A 10-year-old Syrian girl died due to meningitis upon arrival to Kara Tepe refugee accommodation area in Lesvos, Greece",Yes,Meningitis,,2955576.60081708,4738651.37277445,
26968,"June 20, 2015",Partially Verified,U.S./Mexico Border,1,,Guatemalan,Central America,Central America to United States,"Rio Bravo, Mexico",,1,,,Contacto,http://bit.ly/1mSBY9T,,Yes,Drowning,,-11208630.3005174,3381970.61117251,
26969,"October 14, 2015",Partially Verified,Europe,1,,Syria,Middle East,Calais to UK,Motorway close to the Channel Tunnel near Calais,1,,,approx. 30,Calais Migrant Solidarity,bit.ly/22N7qH6,,Yes,Hit by vehicle,,207639.085293787,6609777.14437435,
26970,"November 14, 2015",Partially Verified,Central America incl. Mexico,1,,Unknown,Central America,Mexico to United States,"Between municipalities of Moloacán and Las Choapas, Veracruz, Mexico",,1,,,Noticias Ver,http://bit.ly/1IesZcI,,Yes,Shot,,-10487445.3630542,2031245.23415968,
26975,"March 30, 2015",Partially Verified,Southeast Asia,243,,,South East Asia,Bay of Bengal and Andaman Sea,,,,,,UNHCR,http://www.unhcr.org/554c6a746.html,UNHCR estimate for total deaths in Bay of Bengal and Andaman Sea for January through March 2015,Yes,Mixed,,10575351.1623832,1118889.90963575,
27366,"June 29, 2015",Verified,Southeast Asia,60,,Rohingya,South East Asia,Bay of Bengal and Andaman Sea,Bay of Bengal and Andaman Sea,,,,,UNHCR,http://www.unhcr.org/554c6a746.html,Total deaths in Andaman Sea and Bay of Bengal reported by UNHCR for months of April through June 2015.,Yes,Mixed. Migrants were stranded on boats,,10575351.1623832,1120112.90209436,
27369,"September 19, 2015",Partially Verified,Europe,1,,Morocco,MENA,Calais to UK,Port of Calais,,1,,22,Morocco World News,,Death occured while trying to swim to ferry,Yes,Drowning,,204762.738708484,6615002.73640576,
27372,"October 8, 2015",Partially Verified,Central America incl. Mexico,3,,Ecuador,South America,Central America to United States,"Tlalixcoyan, Veracruz, Mexico",,3,,"28, 38, 52",La Voz,bit.ly/1NPoSj7  http://bit.ly/2b3Hsws,,Yes,Vehicle accident,,-10702406.3944579,2177959.12907195,
27373,"November 16, 2015",Partially Verified,Horn of Africa,1,,Ethiopian,Horn of Africa,Other,"Sharag Bin Taleb, Hadramout Governorate, Yemen",,1,1,17,Society for Humanitarian Solidarity,http://shsyemen.org/en/?cat=4,,Yes,Drowning,,5588696.96848221,1679248.86431445,
27374,"November 20, 2015",Partially Verified,U.S./Mexico Border,1,,Salvadoran,Central America,Central America to United States,"Rio Grande, Tamaulipas, Mexico",,1,,38,Diario 1,http://bit.ly/1TqDCtS,,Yes,Drowning,,-10916193.2903229,3004418.71132307,
27379,"January 1, 2015",Partially Verified,Southeast Asia,3,,Ethnic Rohingya,South East Asia,,"Island off the coast of Phang Nga, the mainland province north of Phuket, Thailand",,1,,,Phuket Wan - Tourism News,http://bit.ly/14qimAe,Occurred on unspecified date in January 2014,Yes,Beating/shot by traffickers,,10959282.5935823,906007.886503894,
27767,"May 14, 2015",Partially Verified,Southeast Asia,10,,Reported as unspecified nationals of Rohingya,South East Asia,Bay of Bengal and Andaman Sea,Andaman Sea,,,,,BBC,http://bbc.in/1F9SIhx,Died on board stranded boat,Yes,Mixed,,10575351.1623832,1118889.90963575,
27768,"March 30, 2015",Verified,Southeast Asia,,130,Rohingya,South East Asia,Bay of Bengal and Andaman Sea,Bay of Bengal or Andaman Sea,,,,,Arakan Project,,"Unknown - likely drowning - Departed from Rakhine State, Myanmar",Yes,Presumed drowning,,10310986.4909831,2220342.11914566,
28166,"October 20, 2015",Verified,Mediterranean,,13,at least 4 Syrian,MENA,Eastern Mediterranean,"North of Samos, Greece",1,,2,,Hellenic Coast Guard,http://bit.ly/1XsWx9O,,Yes,Drowning,,3000208.89363095,4556176.17703288,
28168,"July 20, 2015",Partially Verified,U.S./Mexico Border,3,,Mexican,Central America,Mexico to United States,"Rio Grande River near Eagle Pass, Texas",,3,1,"35, 32, 6",Eagle Pass Business Journal,http://bit.ly/1MHOaPv  and http://bit.ly/1CUWrln,,Yes,Drowning,,-11188554.3956332,3339008.94417942,
28170,"October 28, 2015",Partially Verified,U.S./Mexico Border,1,,Mexican,Central America,Mexico to United States,"Rio Grande, Mexico",,1,,,"Grupo Sieno, Twitter",bit.ly/1SuTiiO,,Yes,Drowning,,-11638874.7957771,3466738.05945361,
28171,"November 16, 2015",Partially Verified,U.S./Mexico Border,1,,Honduras,Central America & Mexico,Central America to United States,"Rio Grande, Tamaulipas, Mexico",,1,,38,La Prensa,http://www.laprensa.mx/notas.asp?id=402666,,Yes,Drowning,,-10935423.2991019,3008367.97944746,
28566,"December 14, 2015",Partially Verified,Mediterranean,2,3,Syrian,MENA,Eastern Mediterranean,"Off the coast of Kas, Antalya, Turkey, likely en route to Kastelorizo/Megisti, Greece",2,,2,7 and 11,Hurriyet Daily News,http://bit.ly/1NUH2ov,,Yes,Drowning,,3297984.20061817,4326937.06032677,
28567,"December 18, 2015",Verified,Mediterranean,1,,Unknown,Middle East/ South Asia,Eastern Mediterranean,"En route to Chios, Greece",1,,1,2 years old,Hellenic Coast Guard via IOM Athens,http://www.hcg.gr/node/11694,,,Drowning,,2918078.56900632,4632737.66197163,
28568,"December 21, 2015",Verified,Mediterranean,13,1,Unknown,Middle East/ South Asia,Eastern Mediterranean,off the coast of Farmakonisi islands,2,4,7,,Hellenic Coast Guard via IOM Athens,,,Yes,Drowning,,3019636.00770606,4478873.45581666,
28569,"November 27, 2015",Partially Verified,Central America incl. Mexico,4,,Unknown,Central America,Mexico to United States,"Tamaulipas, Mexico",,,,,Noticiero de San Vicente,http://bit.ly/1UhgxK7,,Yes,Vehicle accident,,-10979346.65385,2771752.82466006,
